GOAL-Fraud;Random;Time;V1;V2;V3;V4;V5;V6;V7;V8;V9;V10;V11;V12;V13;V14;V15;V16;V17;V18;V19;V20;V21;V22;V23;V24;V25;V26;V27;V28;Amount
No;0.292187722;1419;-1.304438945;0.914605135;1.7135152619999998;-0.038153257;-0.18739259100000003;-0.20634312800000001;1.18741915;-0.519305722;0.472982774;0.853970363;1.269820521;0.579540204;-0.514100569;-0.581944716;-0.9719939890000001;-0.459677629;-0.36696214;-0.192152309;0.6033493639999999;0.117154454;-0.25586121100000003;-0.117827106;-0.265449551;0.5657204339999999;-0.13304276199999998;0.111576694;-0.391595872;-0.16585365300000002;84.39
No;0.6768303609999999;3226;-0.628730431;0.86779243;2.056008077;0.31879736399999997;0.077096913;0.190312887;0.542044785;-0.069118851;-0.325351491;0.085661475;1.652961585;0.846043945;0.30710317800000003;-0.08237143599999999;0.513288575;-0.014754362;-0.626082495;0.276022669;-0.537282651;-0.04805673;0.324588234;1.073626204;-0.19393382899999997;0.236758165;-0.421540189;-0.44509337600000004;-0.234796122;-0.07634227;19.36
No;0.289380126;2016;1.036070761;0.010580431999999999;1.316595118;1.3085858959999999;-0.855817748;-0.124197821;-0.47680090399999997;0.09109590099999999;0.311728395;-0.08376571099999999;0.21268375399999997;0.839400455;0.967347016;-0.15071215;1.5429521990000001;0.25220487199999997;-0.35936366299999994;-0.32382572600000004;-1.202787827;-0.026504222;0.185853149;0.561606488;0.019343605;0.41310907;0.237439388;-0.358428845;0.077516747;0.049019497;45.0
Yes;0.9669709790000001;93853;-5.839191619;7.1515323539999995;-12.81676008;7.031114765;-9.651272168;-2.938427258;-11.54320717;4.843626532;-3.494275725;-13.32078887;8.460244449;-17.00328945;0.101556615;-14.09445166;0.747030766;-12.66169572;-18.91249382;-6.626974845;4.008920742;0.055683881;2.4620559109999998;1.054865184;0.530480596;0.47266981399999997;-0.275997968;0.282435025;0.10488602;0.254417097;316.06
No;0.043125224000000004;85;-4.25759744;1.649489166;-1.5912416719999998;-1.374316771;-1.180135992;-0.33103953399999997;-0.117991556;1.592032179;0.415995685;0.159163277;-1.516288413;0.37406457;0.42717436;0.803874467;0.713170739;0.915793497;-0.134021723;-0.693337258;-0.63956757;-0.271984946;-0.45256780700000004;-0.671702517;0.001422276;-0.8763765179999999;0.07009822;0.729582299;-0.0029423709999999996;-0.481496958;124.67
Yes;0.659406803;93823;-3.8219388010000004;5.6672473089999995;-9.244963457999999;8.246146934;-4.3682860869999995;-3.450734518;-8.427378029;2.305608505;-5.338079184;-12.01116088;8.621255081000001;-18.68371463;-0.962073428;-15.29765619;-2.414132123;-12.10560225;-21.33819509;-8.045435716;0.156015033;1.115246889;1.990519705;0.08335332200000001;-0.062263553;0.39018780200000003;0.32988388399999996;0.098017083;1.8695701630000001;1.000849563;75.86
No;0.027646023999999998;260;1.075229011;-0.33533946800000003;1.680467942;1.192098388;-1.270530762;0.313498288;-0.8710248620000001;0.23540172899999998;1.315260839;-0.478206972;-0.370612661;1.506748861;0.848506498;-1.0677793629999999;-1.1059660759999999;-0.9415998609999999;0.710495612;-1.057347979;-0.29538951399999996;-0.113252987;0.09292951699999999;0.815226885;-0.05455139;0.731148708;0.431464973;0.580189202;0.062528164;0.025628072000000002;5.46
No;0.195708479;800;1.25665181;0.42751909299999996;0.327080184;0.6838054109999999;-0.281307026;-1.049115607;0.156023257;-0.261677788;-0.121513865;-0.312627038;0.107478039;0.775869395;1.2428082790000001;-0.48982375899999997;0.9823881040000001;0.430798818;-0.063306933;-0.42397200700000004;-0.205405132;-0.015214247;-0.275783768;-0.746706896;0.116998775;0.37322142700000005;0.250407257;0.09097453300000001;-0.016461636;0.033042486;1.98
No;0.42834597799999996;2949;-0.887227117;0.501772184;1.067659116;2.4699355869999997;0.942060262;0.060158455;0.9672248520000001;0.097178242;-1.99541725;0.632936088;1.237848401;0.153402131;-0.365042122;0.8136362290000001;0.114629984;-0.23277224300000002;-0.066176675;-0.056891407000000005;0.144503412;0.38067228799999997;0.290857684;0.449769753;0.184243913;0.001575689;-0.130197445;0.14932073699999998;0.058018039;0.14236902199999998;124.14
No;0.196241521;1358;-0.36809313299999996;0.19326076399999997;2.0946438080000003;-0.39807969200000004;-0.746666183;-0.08817040300000001;0.035217122999999996;0.201767253;0.326741407;-0.692417987;0.95985559;1.348787365;0.37724657;-0.531343173;-1.401817921;-0.131868228;-0.086880784;-0.07826129;0.8019542609999999;0.070890041;0.006146568000000001;0.198105715;0.153753236;0.6170628579999999;-0.9948656029999999;0.758272087;0.128474474;0.17582415899999998;37.73
No;0.202927097;3125;-0.748194545;1.35331599;0.899336282;0.054792013;-0.06677368;-0.524542764;0.38407162799999994;0.44077911;-0.6986999559999999;-0.816819982;0.00423454;0.605480461;0.9946699179999999;-0.24912066;1.016316204;0.175987105;0.406681487;-0.645593843;-0.463739293;0.059931354000000006;-0.17506076899999998;-0.518743735;0.096494316;0.04283338;-0.174730119;0.100737182;0.13688418900000002;0.034846048;19.27
Yes;0.879718214;101597;0.913116135;1.145381087;-4.602877933;2.091803374;-0.47322385899999997;-2.085435833;-1.671244032;0.09439658599999999;0.337798765;-4.431809632;4.87197986;-5.395221177000001;1.3325021559999999;-4.6037966919999995;-0.777313548;-2.571891561;-3.003615305;-0.22544138800000002;0.252273565;0.5089847479999999;0.401415741;-0.084933416;-0.197684434;-0.283271079;0.387597336;-0.553526986;0.5162744570000001;0.270828187;147.87
